iter	Passed	Remaining
565	3231	2477
566	3235	2471
567	3240	2464
568	3244	2457
569	3249	2451
570	3253	2444
571	3258	2437
572	3262	2430
573	3266	2424
574	3273	2419
575	3279	2414
576	3286	2409
577	3291	2403
578	3296	2396
579	3300	2389
580	3305	2383
581	3309	2376
582	3313	2370
583	3318	2363
584	3322	2356
585	3326	2350
586	3330	2343
587	3334	2336
588	3339	2329
589	3343	2323
590	3348	2317
591	3353	2311
592	3357	2304
593	3361	2297
594	3365	2291
595	3370	2284
596	3374	2277
597	3378	2271
598	3383	2264
599	3386	2257
600	3391	2251
601	3395	2245
602	3400	2238
603	3404	2231
604	3408	2225
605	3412	2218
606	3416	2211
607	3420	2205
608	3424	2198
609	3429	2192
610	3433	2186
611	3438	2179
612	3442	2173
613	3446	2166
614	3450	2160
615	3454	2153
616	3459	2147
617	3465	2141
618	3470	2135
619	3474	2129
620	3479	2123
621	3484	2117
622	3489	2111
623	3493	2105
624	3498	2099
625	3502	2092
626	3507	2086
627	3512	2080
628	3517	2074
629	3521	2067
630	3526	2062
631	3530	2055
632	3534	2049
633	3538	2042
634	3543	2036
635	3547	2030
636	3551	2023
637	3555	2017
638	3560	2011
639	3565	2005
640	3569	1999
641	3574	1993
642	3578	1986
643	3583	1980
644	3587	1974
645	3591	1968
646	3596	1962
647	3601	1956
648	3605	1950
649	3609	1943
650	3614	1937
651	3618	1931
652	3623	1925
653	3626	1918
654	3631	1912
655	3635	1906
656	3640	1900
657	3644	1894
658	3649	1888
659	3653	1881
660	3658	1876
661	3664	1870
662	3668	1864
663	3672	1858
664	3677	1852
665	3681	1846
666	3685	1840
667	3691	1834
668	3698	1829
669	3702	1823
670	3708	1818
671	3713	1812
672	3719	1807
673	3724	1801
674	3729	1795
675	3734	1789
676	3739	1784
677	3744	1778
678	3749	1772
679	3754	1766
680	3759	1760
681	3765	1755
682	3770	1749
683	3774	1743
684	3778	1737
685	3783	1731
686	3787	1725
687	3792	1719
688	3796	1713
689	3800	1707
690	3805	1701
691	3809	1695
692	3815	1690
693	3819	1684
694	3824	1678
695	3829	1672
696	3834	1667
697	3838	1660
698	3843	1655
699	3848	1649
700	3854	1643
701	3861	1639
702	3866	1633
703	3872	1628
704	3876	1621
705	3881	1616
706	3885	1610
707	3890	1604
708	3895	1598
709	3899	1592
710	3904	1586
711	3909	1581
712	3913	1575
713	3919	1569
714	3923	1564
715	3930	1558
716	3934	1552
717	3938	1546
718	3944	1541
719	3949	1535
720	3953	1529
721	3958	1524
722	3962	1518
723	3967	1512
724	3971	1506
725	3975	1500
726	3979	1494
727	3983	1488
728	3988	1482
729	3992	1476
730	3997	1471
731	4001	1465
732	4006	1459
733	4010	1453
734	4014	1447
735	4018	1441
736	4023	1435
737	4028	1429
738	4032	1424
739	4037	1418
740	4041	1412
741	4046	1406
742	4053	1402
743	4059	1396
744	4064	1391
745	4068	1385
746	4073	1379
747	4077	1373
748	4082	1368
749	4088	1362
750	4094	1357
751	4099	1352
752	4105	1346
753	4109	1340
754	4115	1335
755	4121	1330
756	4125	1324
757	4129	1318
758	4134	1312
759	4139	1307
760	4144	1301
761	4151	1296
762	4155	1290
763	4160	1285
764	4165	1279
765	4170	1274
766	4174	1268
767	4179	1262
768	4184	1256
769	4189	1251
770	4193	1245
771	4199	1240
772	4203	1234
773	4208	1228
774	4213	1223
775	4218	1217
776	4222	1211
777	4227	1206
778	4231	1200
779	4235	1194
780	4239	1188
781	4247	1184
782	4252	1178
783	4259	1173
784	4265	1168
785	4270	1162
786	4275	1157
787	4279	1151
788	4283	1145
789	4287	1139
790	4292	1134
791	4296	1128
792	4301	1122
793	4305	1117
794	4310	1111
795	4315	1105
796	4319	1100
797	4325	1094
798	4329	1089
799	4334	1083
800	4338	1077
801	4343	1072
802	4347	1066
803	4352	1060
804	4356	1055
805	4361	1049
806	4365	1044
807	4370	1038
808	4375	1032
809	4379	1027
810	4383	1021
811	4388	1016
812	4393	1010
813	4396	1004
814	4401	999
815	4405	993
816	4410	987
817	4415	982
818	4422	977
819	4427	971
820	4432	966
821	4440	961
822	4448	956
823	4452	951
824	4458	945
825	4462	940
826	4468	934
827	4472	929
828	4478	923
829	4482	918
830	4487	912
831	4492	907
832	4496	901
833	4502	896
834	4507	890
835	4513	885
836	4519	880
837	4526	874
838	4532	869
839	4538	864
840	4544	859
841	4551	854
842	4556	848
843	4560	842
844	4567	837
845	4573	832
846	4580	827
847	4584	821
848	4589	816
849	4594	810
850	4600	805
851	4605	800
852	4612	794
853	4616	789
854	4621	783
855	4625	778
856	4632	773
857	4641	768
858	4646	762
859	4650	757
860	4655	751
861	4660	746
862	4664	740
863	4669	735
864	4673	729
865	4679	724
866	4683	718
867	4688	713
868	4693	707
869	4698	702
870	4702	696
871	4707	691
872	4711	685
873	4717	680
874	4722	674
875	4729	669
876	4735	664
877	4758	661
878	4778	657
879	4785	652
880	4791	647
881	4805	642
882	4810	637
883	4816	631
884	4820	626
885	4825	620
886	4832	615
887	4838	610
888	4844	604
889	4848	599
890	4853	593
891	4857	588
892	4861	582
893	4865	576
894	4870	571
895	4874	565
896	4878	560
897	4883	554
898	4887	549
899	4892	543
900	4896	538
901	4901	532
902	4905	526
903	4909	521
904	4914	515
905	4918	510
906	4923	504
907	4928	499
908	4932	493
909	4937	488
910	4942	482
911	4947	477
912	4951	471
913	4955	466
914	4961	460
915	4966	455
916	4971	449
917	4975	444
918	4980	438
919	4985	433
920	4990	428
921	4994	422
922	5000	417
923	5006	411
924	5010	406
925	5016	400
926	5021	395
927	5029	390
928	5035	384
929	5039	379
930	5045	373
931	5051	368
932	5055	363
933	5060	357
934	5066	352
935	5070	346
936	5075	341
937	5081	335
938	5085	330
939	5090	324
940	5095	319
941	5100	314
942	5105	308
943	5112	303
944	5117	297
945	5122	292
946	5127	286
947	5133	281
948	5138	276
949	5143	270
950	5148	265
951	5153	259
952	5159	254
953	5163	248
954	5168	243
955	5173	238
956	5178	232
957	5182	227
958	5186	221
959	5192	216
960	5197	210
961	5201	205
962	5207	200
963	5212	194
964	5217	189
965	5226	183
966	5231	178
967	5236	173
968	5240	167
969	5245	162
970	5249	156
971	5254	151
972	5258	145
973	5262	140
974	5267	135
975	5272	129
976	5276	124
977	5281	118
978	5286	113
979	5290	107
980	5295	102
981	5299	97
982	5304	91
983	5308	86
984	5313	80
985	5317	75
986	5321	70
987	5325	64
988	5331	59
989	5335	53
990	5340	48
991	5346	43
992	5351	37
993	5356	32
994	5360	26
995	5365	21
996	5371	16
997	5375	10
998	5381	5
999	5386	0
